Team,specialteams_fe_FGM,specialteams_fe_Att,specialteams_fe_FG %,specialteams_fe_1-19 > A-M,specialteams_fe_20-29 > A-M,specialteams_fe_30-39 > A-M,specialteams_fe_40-49 > A-M,specialteams_fe_50-59 > A-M,specialteams_fe_60+ > A-M,specialteams_fe_Lng,specialteams_fe_FG Blk,specialteams_ki_Avg,specialteams_ki_Ret_x,specialteams_ki_Yds_x,specialteams_ki_KRet TD,specialteams_ki_20,specialteams_ki_40,specialteams_ki_Lng,specialteams_ki_FC,specialteams_ki_FUM,specialteams_ki_FG Blk,specialteams_ki_XP Blk,specialteams_pu_Avg_x,specialteams_pu_Ret_x,specialteams_pu_Yds_x,specialteams_pu_PRet T,specialteams_pu_20,specialteams_pu_40,specialteams_pu_Lng_x,specialteams_pu_FC_x,specialteams_pu_FUM,specialteams_pu_P Blk_x,specialteams_pu_Net Avg,specialteams_pu_Net Yds,specialteams_pu_Punts,specialteams_pu_Avg_y,specialteams_pu_Lng_y,specialteams_pu_Yds_y,specialteams_pu_IN 20,specialteams_pu_OOB,specialteams_pu_Dn,specialteams_pu_TB,specialteams_pu_FC_y,specialteams_pu_Ret_y,specialteams_pu_RetY,specialteams_pu_TD,specialteams_pu_P Blk_y,specialteams_ki_KO,specialteams_ki_Yds_y,specialteams_ki_TB,specialteams_ki_TB %,specialteams_ki_Ret_y,specialteams_ki_Ret Avg,specialteams_ki_OSK,specialteams_ki_OSK Rec,specialteams_ki_OOB,specialteams_ki_TD,specialteams_sc_FGM,specialteams_sc_FG %,specialteams_sc_XPM,specialteams_sc_XP Pct,specialteams_sc_KRet TD,specialteams_sc_PRet T
Cowboys,36,38,94.7,0,9,15,4,9,1,60,1,21.8,18,393,0,10,2,63,0,0,1,0,5.4,18,98,0,0,0,15,23,1,2,44.9,1975,44,51.4,63,2262,17,2,3,2,13,24,247,0,0,109,7068,99,90.8,8,24.8,0,0,1,0,36,94.7,49,94.2,0,0
Jets,36,39,92.3,0,8,11,14,6,0,55,1,22.6,24,542,0,16,0,34,1,2,0,0,9.7,33,319,1,2,1,65,31,3,1,41.8,4136,99,48.8,62,4831,36,8,7,8,28,48,535,1,0,73,4651,62,84.9,8,15.4,1,0,0,0,36,92.3,16,94.1,0,1
Bears,35,38,92.1,0,9,11,10,8,0,55,0,23.6,23,543,0,18,0,37,2,0,1,1,8.2,23,188,0,1,0,31,21,2,0,38.0,2547,67,46.1,76,3088,18,6,10,8,13,30,381,1,0,89,5624,71,79.8,15,24.7,2,0,0,0,35,92.1,31,93.9,0,0
Seahawks,35,42,83.3,0,8,12,14,8,0,55,0,26.2,26,680,0,24,1,66,0,0,1,0,10.6,25,265,0,3,0,32,16,2,0,44.1,2911,66,50.0,73,3303,25,3,9,8,12,34,232,0,0,86,5428,55,64.0,22,22.2,1,0,1,0,35,83.3,33,100.0,0,0
Browns,34,37,91.9,0,8,8,13,8,0,58,0,23.7,11,261,0,7,0,36,2,0,3,0,8.4,41,343,0,1,0,21,36,2,0,42.4,3819,90,49.4,73,4449,31,13,7,9,16,45,450,0,0,92,5804,54,58.7,30,21.2,0,0,0,1,34,91.9,30,90.9,0,0
Texans,34,38,89.5,0,13,13,4,8,0,54,0,26.6,23,613,2,15,2,98,1,0,1,0,9.7,30,292,0,2,0,22,24,2,0,43.0,3443,80,46.7,74,3735,32,6,10,5,30,29,192,0,0,87,5419,56,64.4,26,21.9,2,1,0,0,34,89.5,31,93.9,2,0
Colts,33,41,80.5,0,9,10,9,12,1,57,1,22.2,9,200,0,3,1,42,8,1,0,0,9.2,29,267,0,2,0,32,22,3,1,43.0,2921,68,48.2,69,3281,21,7,10,0,13,38,360,0,1,93,5960,72,77.4,15,26.1,0,0,0,0,33,80.5,35,97.2,0,0
Chiefs,33,35,94.3,0,8,15,7,4,1,60,0,20.1,12,241,0,8,0,31,6,0,1,0,9.3,41,380,0,7,1,50,17,5,0,41.8,2469,59,47.0,68,2776,20,4,10,5,20,20,207,0,0,85,5565,74,87.1,11,28.3,0,0,0,0,33,94.3,38,100.0,0,0
Falcons,32,37,86.5,0,10,10,11,6,0,54,0,16.9,14,236,0,5,0,29,0,0,0,0,7.2,33,239,0,1,0,23,18,2,0,41.5,3110,75,47.0,66,3523,27,12,5,3,24,31,353,0,0,79,5128,66,83.5,11,23.7,0,0,1,0,32,86.5,27,96.4,0,0
Ravens,32,37,86.5,0,10,10,12,4,1,50,1,24.5,13,319,0,8,1,78,4,0,0,0,14.4,29,417,1,6,2,76,27,0,0,39.8,2625,66,47.8,67,3158,28,8,4,5,17,32,433,1,1,104,6638,80,76.9,20,23.0,1,0,1,0,32,86.5,51,98.1,0,1
Rams,32,43,74.4,0,11,7,15,10,0,54,1,16.1,9,145,0,4,0,36,18,0,0,1,7.3,28,204,0,1,0,29,24,3,0,39.1,2466,63,49.2,72,3101,20,7,5,7,12,32,495,2,1,92,5865,80,87.0,11,26.9,1,0,0,0,32,74.4,32,86.5,0,0
Chargers,31,33,93.9,0,7,8,9,9,0,55,1,21.7,18,390,0,13,1,46,2,0,0,0,16.0,24,385,1,6,1,87,29,3,0,42.3,3174,75,46.3,83,3475,30,4,8,4,31,28,221,0,0,81,5168,68,84.0,11,19.4,1,0,0,0,31,93.9,35,100.0,0,1
Broncos,30,34,88.2,0,11,13,5,5,0,52,1,24.9,16,398,1,11,1,99,2,1,1,0,16.3,20,326,0,5,2,52,15,1,0,42.3,3344,79,46.3,68,3659,27,7,8,6,27,31,195,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,30,88.2,29,93.6,1,0
Jaguars,30,37,81.1,0,4,10,13,10,0,56,1,23.7,29,688,0,21,1,53,0,0,0,0,10.2,29,297,0,4,1,48,17,2,0,43.8,2670,61,47.4,65,2893,29,8,5,4,22,22,143,0,0,86,5421,65,75.6,14,25.4,2,0,0,1,30,81.1,35,100.0,0,0
Saints,30,37,81.1,0,12,6,10,9,0,55,0,21.2,22,466,0,11,0,28,1,1,0,0,12.2,32,392,1,2,1,76,24,0,0,39.8,2981,75,43.0,62,3224,31,10,8,4,24,29,163,0,0,91,5828,76,83.5,12,18.8,1,0,0,0,30,81.1,40,100.0,0,1
Eagles,30,32,93.8,0,9,8,7,7,1,61,0,19.5,13,254,0,5,0,38,10,1,1,0,14.4,29,417,0,7,2,54,18,2,0,43.1,2240,52,48.8,63,2537,17,2,10,1,7,32,277,0,0,91,5846,73,80.2,17,28.9,1,0,0,0,30,93.8,45,97.8,0,0
Titans,29,30,96.7,0,9,9,6,6,0,53,0,20.7,18,372,0,11,0,33,14,0,1,1,7.9,42,330,0,1,0,21,14,3,0,43.5,3440,79,50.7,74,4008,36,10,9,12,19,29,328,0,1,72,4508,34,47.2,35,23.3,2,0,0,0,29,96.7,28,93.3,0,0
Steelers,29,31,93.6,0,9,7,8,6,1,57,0,23.5,24,565,0,17,0,37,2,0,0,1,8.6,30,257,0,3,0,34,13,3,2,39.2,3485,89,44.0,63,3914,33,11,11,8,30,29,269,0,0,76,4833,55,72.4,18,26.4,0,0,0,0,29,93.6,27,96.4,0,0
Buccaneers,29,31,93.6,0,8,12,3,8,0,57,2,20.4,16,327,0,7,0,32,5,0,0,0,9.4,25,234,0,1,1,51,18,2,0,41.8,3219,77,50.0,74,3854,26,11,9,9,9,38,455,0,0,82,5124,52,63.4,26,18.9,1,0,0,0,29,93.6,33,100.0,0,0
Cardinals,28,33,84.8,0,6,8,7,11,1,62,0,21.2,18,382,0,10,1,40,1,0,0,0,9.2,31,286,0,2,1,49,11,1,0,42.9,2746,64,49.6,77,3172,13,3,10,3,12,36,366,0,0,79,4843,66,83.5,6,22.2,5,1,0,0,28,84.8,22,95.6,0,0
Packers,27,33,81.8,0,6,14,8,4,1,53,0,25.3,31,783,0,26,2,51,0,0,2,0,7.3,26,189,0,3,0,35,15,6,0,39.7,2264,57,46.2,68,2634,18,2,5,5,22,23,270,1,0,86,5466,37,43.0,40,23.8,1,0,1,0,27,81.8,34,87.2,0,0
Bengals,26,31,83.9,0,5,6,8,12,0,56,0,22.8,17,387,0,11,2,46,0,0,0,0,10.2,34,346,1,4,1,81,16,1,0,40.3,3066,76,44.3,62,3369,20,8,8,5,26,29,203,0,0,82,5162,63,76.8,13,17.0,2,0,0,0,26,83.9,40,100.0,0,1
Raiders,26,30,86.7,0,10,7,10,3,0,54,1,23.8,11,262,0,9,1,40,1,0,0,1,10.0,25,249,0,1,0,32,18,2,0,45.1,3380,75,50.4,83,3783,34,15,3,6,20,31,283,0,0,78,4977,48,61.5,28,22.8,1,0,0,0,26,86.7,32,100.0,0,0
Panthers,25,30,83.3,0,6,7,9,8,0,56,0,26.5,24,637,0,19,2,52,0,1,0,0,8.7,37,322,1,4,1,79,20,2,0,43.0,3528,82,46.8,69,3838,25,6,14,5,26,31,210,0,0,62,3749,37,59.7,20,23.9,4,0,1,0,25,83.3,17,85.0,0,1
Bills,24,29,82.8,0,4,13,6,6,0,54,1,20.5,17,349,0,10,1,41,4,0,1,0,11.6,31,360,1,4,1,96,25,3,0,39.9,2037,51,45.8,70,2334,24,5,7,3,17,19,237,1,0,95,5952,53,55.8,29,22.4,1,0,1,1,24,82.8,49,98.0,0,1
Dolphins,24,28,85.7,0,6,7,8,7,0,57,2,24.5,18,441,0,16,0,33,1,0,0,0,9.8,27,265,0,0,0,19,26,1,0,40.7,2157,53,45.7,66,2424,20,6,8,3,19,17,207,1,0,98,6327,83,84.7,15,30.5,0,0,0,1,24,85.7,58,98.3,0,0
Vikings,24,30,80.0,1,7,9,6,7,0,54,1,25.1,19,477,0,14,1,47,1,0,0,1,7.8,37,289,0,3,0,25,14,1,0,41.2,2470,60,48.1,68,2887,16,7,2,7,16,28,277,0,0,80,5131,61,76.2,17,23.8,1,0,1,0,24,80.0,36,94.7,0,0
Giants,22,31,71.0,0,4,9,11,7,0,57,1,19.2,13,249,0,7,0,36,3,0,1,0,8.9,35,311,1,1,1,94,16,7,0,42.3,4022,95,46.0,74,4372,35,7,9,4,36,39,270,0,0,65,4110,38,58.5,16,23.6,0,0,1,0,22,71.0,24,96.0,0,1
49ers,21,25,84.0,0,7,9,6,3,0,57,0,21.8,20,437,0,11,0,34,0,0,0,0,8.0,34,273,0,0,0,19,13,2,0,42.7,2220,52,47.7,67,2480,26,4,11,2,13,22,220,0,0,97,6131,58,59.8,32,23.3,0,0,2,0,21,84.0,60,98.4,0,0
Lions,19,21,90.5,0,3,13,3,2,0,52,0,22.2,19,421,0,11,0,31,2,1,0,1,11.4,29,331,0,3,1,42,23,1,0,41.7,2378,57,46.4,70,2646,26,3,8,5,20,21,168,0,0,93,5814,60,64.5,27,20.8,3,0,0,0,19,90.5,48,92.3,0,0
Commanders,19,24,79.2,0,3,7,9,4,1,61,1,25.0,24,601,0,18,1,40,0,1,1,0,7.9,35,278,0,3,1,61,14,2,0,41.8,3050,73,46.0,66,3361,30,1,11,2,25,34,271,0,2,72,4520,64,88.9,5,27.8,3,0,1,0,19,79.2,32,91.4,0,0
Patriots,16,25,64.0,0,4,7,10,4,0,56,0,26.2,18,471,1,13,3,98,1,0,1,0,6.3,33,208,0,2,0,25,26,5,0,40.8,3999,98,46.9,79,4598,38,14,8,8,24,44,439,0,0,61,3830,39,63.9,21,20.6,1,0,0,0,16,64.0,24,96.0,1,0
